Location,AAPC
Global,-4.01 (-4.24 - -3.78)
Afghanistan,-4.70 (-5.07 - -4.33)
Albania,-8.43 (-8.90 - -7.96)
Algeria,-3.97 (-4.21 - -3.72)
American Samoa,-0.50 (-0.75 - -0.26)
Andorra,-5.91 (-6.32 - -5.50)
Angola,-4.98 (-5.10 - -4.86)
Antigua and Barbuda,-0.83 (-1.82 - 0.16)
Argentina,-0.34 (-1.31 - 0.65)
Armenia,-3.78 (-4.65 - -2.90)
Australia,-1.86 (-3.42 - -0.27)
Austria,-5.12 (-6.09 - -4.14)
Azerbaijan,-5.58 (-5.84 - -5.32)
Bahamas,-2.18 (-2.83 - -1.54)
Bahrain,-3.55 (-3.93 - -3.17)
Bangladesh,-5.76 (-6.42 - -5.10)
Barbados,-1.00 (-1.64 - -0.36)
Belarus,-4.06 (-5.45 - -2.65)
Belgium,-3.86 (-4.90 - -2.81)
Belize,-2.58 (-3.34 - -1.80)
Benin,-3.26 (-3.50 - -3.03)
Bermuda,-3.81 (-4.47 - -3.15)
Bhutan,-6.26 (-7.03 - -5.48)
Bolivia (Plurinational State of),-6.58 (-7.08 - -6.08)
Bosnia and Herzegovina,-4.27 (-5.00 - -3.53)
Botswana,-3.74 (-4.64 - -2.82)
Brazil,-5.55 (-6.05 - -5.05)
Brunei Darussalam,-2.67 (-3.72 - -1.60)
Bulgaria,-5.22 (-6.55 - -3.87)
Burkina Faso,-2.98 (-3.31 - -2.64)
Burundi,-3.30 (-3.55 - -3.05)
Cabo Verde,-2.41 (-3.17 - -1.64)
Cambodia,-4.98 (-5.18 - -4.78)
Cameroon,-2.49 (-2.78 - -2.19)
Canada,-5.57 (-7.32 - -3.79)
Central African Republic,-2.06 (-2.21 - -1.90)
Chad,-1.68 (-1.86 - -1.50)
Chile,-6.51 (-7.73 - -5.28)
China,-8.26 (-8.56 - -7.96)
Colombia,-5.75 (-6.42 - -5.08)
Comoros,-3.46 (-4.02 - -2.90)
Congo,-3.24 (-3.45 - -3.04)
Cook Islands,-4.71 (-5.13 - -4.30)
Costa Rica,-4.10 (-4.87 - -3.32)
Côte d'Ivoire,-2.60 (-2.88 - -2.32)
Croatia,-3.56 (-5.17 - -1.92)
Cuba,-0.91 (-1.66 - -0.15)
Cyprus,-5.68 (-6.20 - -5.16)
Czechia,-3.19 (-4.45 - -1.91)
Democratic People's Republic of Korea,-3.54 (-3.79 - -3.30)
Democratic Republic of the Congo,-2.67 (-2.75 - -2.59)
Denmark,-4.26 (-6.02 - -2.46)
Djibouti,-2.95 (-3.28 - -2.61)
Dominica,-1.21 (-1.68 - -0.74)
Dominican Republic,-5.07 (-5.96 - -4.18)
Ecuador,-5.37 (-6.70 - -4.01)
Egypt,-5.07 (-5.46 - -4.68)
El Salvador,-5.31 (-5.81 - -4.80)
Equatorial Guinea,-5.98 (-6.33 - -5.62)
Eritrea,-3.03 (-3.38 - -2.68)
Estonia,-6.92 (-7.72 - -6.11)
Eswatini,-2.10 (-2.75 - -1.44)
Ethiopia,-5.18 (-5.54 - -4.83)
Fiji,-3.46 (-3.72 - -3.19)
Finland,-9.90 (-12.55 - -7.16)
France,-5.26 (-6.20 - -4.31)
Gabon,-2.61 (-2.92 - -2.29)
Gambia,-2.48 (-3.21 - -1.75)
Georgia,-5.60 (-7.52 - -3.64)
Germany,-4.74 (-5.39 - -4.09)
Ghana,-2.78 (-3.01 - -2.54)
Greece,-1.34 (-2.33 - -0.35)
Greenland,-5.16 (-5.93 - -4.39)
Grenada,-2.34 (-3.64 - -1.01)
Guam,-1.27 (-2.18 - -0.36)
Guatemala,-4.54 (-5.27 - -3.81)
Guinea,-3.27 (-3.77 - -2.77)
Guinea-Bissau,-3.16 (-3.42 - -2.90)
Guyana,-1.88 (-2.62 - -1.13)
Haiti,-3.24 (-3.43 - -3.05)
Honduras,-4.24 (-4.51 - -3.96)
Hungary,-4.52 (-5.43 - -3.60)
Iceland,-5.35 (-6.15 - -4.55)
India,-3.81 (-4.08 - -3.54)
Indonesia,-5.66 (-5.83 - -5.48)
Iran (Islamic Republic of),-5.17 (-5.42 - -4.91)
Iraq,-4.49 (-4.79 - -4.19)
Ireland,-6.81 (-7.62 - -5.99)
Israel,-3.28 (-4.73 - -1.81)
Italy,-4.25 (-5.22 - -3.26)
Jamaica,-3.15 (-4.50 - -1.79)
Japan,-3.80 (-4.39 - -3.20)
Jordan,-3.37 (-3.68 - -3.06)
Kazakhstan,-4.91 (-5.87 - -3.93)
Kenya,-2.54 (-2.72 - -2.36)
Kiribati,-3.32 (-3.55 - -3.09)
Kuwait,-0.84 (-3.10 - 1.48)
Kyrgyzstan,-6.48 (-6.97 - -5.99)
Lao People's Democratic Republic,-5.75 (-5.91 - -5.59)
Latvia,-3.85 (-5.45 - -2.22)
Lebanon,-2.30 (-2.72 - -1.87)
Lesotho,-0.43 (-0.81 - -0.04)
Liberia,-5.00 (-5.67 - -4.32)
Libya,-1.64 (-2.67 - -0.61)
Lithuania,-3.53 (-4.99 - -2.05)
Luxembourg,-5.82 (-6.36 - -5.28)
Madagascar,-2.85 (-3.07 - -2.64)
Malawi,-3.46 (-3.86 - -3.06)
Malaysia,-1.39 (-2.04 - -0.75)
Maldives,-8.91 (-9.36 - -8.45)
Mali,-2.75 (-3.02 - -2.49)
Malta,-3.27 (-4.47 - -2.05)
Marshall Islands,-1.73 (-1.92 - -1.54)
Mauritania,-3.19 (-3.34 - -3.03)
Mauritius,-2.97 (-4.14 - -1.79)
Mexico,-5.50 (-6.17 - -4.82)
Micronesia (Federated States of),-3.90 (-4.08 - -3.73)
Monaco,-1.46 (-1.86 - -1.06)
Mongolia,-8.03 (-8.90 - -7.15)
Montenegro,-4.15 (-4.59 - -3.71)
Morocco,-5.78 (-5.93 - -5.62)
Mozambique,-3.25 (-3.71 - -2.79)
Myanmar,-5.80 (-5.94 - -5.65)
Namibia,-2.80 (-3.13 - -2.47)
Nauru,-1.02 (-1.33 - -0.71)
Nepal,-6.27 (-6.42 - -6.12)
Netherlands,-3.96 (-5.16 - -2.73)
New Zealand,-5.12 (-7.00 - -3.20)
Nicaragua,-6.08 (-6.52 - -5.65)
Niger,-4.37 (-4.73 - -4.00)
Nigeria,-3.45 (-3.65 - -3.25)
Niue,-2.05 (-3.12 - -0.97)
North Macedonia,-7.22 (-7.77 - -6.68)
Northern Mariana Islands,-1.38 (-1.97 - -0.80)
Norway,-7.01 (-9.11 - -4.87)
Oman,-3.31 (-3.75 - -2.86)
Pakistan,-3.35 (-3.80 - -2.90)
Palau,-1.86 (-2.84 - -0.86)
Palestine,-3.49 (-3.77 - -3.21)
Panama,-4.57 (-4.96 - -4.17)
Papua New Guinea,-2.43 (-2.69 - -2.17)
Paraguay,-4.77 (-5.37 - -4.16)
Peru,-5.46 (-5.95 - -4.96)
Philippines,-3.28 (-3.54 - -3.01)
Poland,-1.72 (-2.92 - -0.51)
Portugal,-4.78 (-6.17 - -3.37)
Puerto Rico,-3.62 (-4.50 - -2.73)
Qatar,-3.82 (-4.52 - -3.12)
Republic of Korea,-3.12 (-3.26 - -2.98)
Republic of Moldova,-5.13 (-6.76 - -3.48)
Romania,-5.81 (-6.61 - -5.01)
Russian Federation,-4.23 (-5.73 - -2.70)
Rwanda,-4.52 (-5.06 - -3.98)
Saint Kitts and Nevis,-2.55 (-3.43 - -1.66)
Saint Lucia,-2.66 (-3.27 - -2.05)
Saint Vincent and the Grenadines,-1.64 (-2.14 - -1.14)
Samoa,-2.54 (-2.69 - -2.38)
San Marino,-6.02 (-6.36 - -5.67)
Sao Tome and Principe,-4.15 (-4.68 - -3.62)
Saudi Arabia,-3.19 (-3.34 - -3.04)
Senegal,-3.03 (-3.46 - -2.60)
Serbia,-5.16 (-6.62 - -3.68)
Seychelles,-1.80 (-2.36 - -1.24)
Sierra Leone,-3.77 (-4.47 - -3.07)
Singapore,-4.53 (-5.90 - -3.14)
Slovakia,-5.02 (-5.57 - -4.48)
Slovenia,-4.90 (-6.34 - -3.44)
Solomon Islands,-2.02 (-2.27 - -1.77)
Somalia,-2.35 (-2.61 - -2.10)
South Africa,-3.14 (-3.51 - -2.77)
South Sudan,-1.45 (-1.96 - -0.95)
Spain,-5.00 (-6.18 - -3.80)
Sri Lanka,-4.44 (-4.97 - -3.91)
Sudan,-6.47 (-6.77 - -6.17)
Suriname,-2.75 (-3.22 - -2.27)
Sweden,-7.39 (-8.32 - -6.46)
Switzerland,-6.82 (-8.48 - -5.13)
Syrian Arab Republic,-3.45 (-4.45 - -2.45)
Taiwan (Province of China),-3.12 (-4.16 - -2.07)
Tajikistan,-3.88 (-4.16 - -3.61)
Thailand,-2.07 (-2.40 - -1.74)
Timor-Leste,-5.12 (-5.41 - -4.84)
Togo,-2.27 (-2.44 - -2.10)
Tokelau,0.61 (-0.85 - 2.10)
Tonga,-2.68 (-2.93 - -2.42)
Trinidad and Tobago,-2.74 (-3.55 - -1.92)
Tunisia,-4.97 (-5.44 - -4.50)
Türkiye,-6.17 (-6.73 - -5.60)
Turkmenistan,-3.80 (-4.96 - -2.63)
Tuvalu,-7.76 (-8.05 - -7.47)
Uganda,-2.79 (-3.12 - -2.45)
Ukraine,-2.34 (-3.95 - -0.71)
United Arab Emirates,-3.06 (-4.87 - -1.23)
United Kingdom,-4.13 (-5.89 - -2.34)
United Republic of Tanzania,-4.26 (-4.53 - -3.99)
United States of America,-5.22 (-5.77 - -4.67)
United States Virgin Islands,-3.05 (-3.69 - -2.41)
Uruguay,-3.05 (-3.84 - -2.25)
Uzbekistan,-3.94 (-4.25 - -3.63)
Vanuatu,-2.18 (-2.64 - -1.73)
Venezuela (Bolivarian Republic of),-2.87 (-3.49 - -2.24)
Viet Nam,-6.04 (-6.24 - -5.83)
Yemen,-5.10 (-5.43 - -4.78)
Zambia,-3.94 (-4.30 - -3.57)
Zimbabwe,-0.03 (-0.45 - 0.39)
